content,theme,sentiment,anls
热水挺快的，两三分钟吧，好评，京东物流还是一如往常的快！?,热水;NULL;物流;,挺快;好评;快;,1;1;1;
关于送货的龟速就不评价了。相比这家公司的无良，那些都不算什么。同时买了两种粽子和咸鸭蛋</br></br>关于粽子，实在想不到还有这么劣质的产品在京东卖，不说里面大块大块的肥肉，整个粽子都是很恶心的味道，严重怀疑用的油和肉存在问题，很想问问，你们的产品有质量检测吗？QS认证花多少钱做的？这样赚钱，不怕天谴吗？</br></br>关于咸鸭蛋，实在没有可评价的，因为根本就没收到，申请退##款，京东居然只退了一半，而且至今无反馈。</br></br>京东购物N年，至今为止，最差的一次体验！,NULL;NULL;NULL;NULL;NULL;,龟速;无良;劣质;恶心;严重;,-1;-1;-1;-1;-1;
颜色看着非常清新，很喜欢，很有质感，物有所值，跟苹果手机蓝牙配对很顺利。,看着;NULL;NULL;NULL;NULL;,清新;喜欢;有质感;物有所值;顺利;,1;1;1;1;1;
在亚马逊最糟糕的一次购物体验，亚马逊拆分了我的订单，将这个和另一个订单的其他物品放在一个包装里，我完全没有想到，我想可能是由于这个商品包装很薄，我并没有发现盒子里有这个商品，也就导致我从没见过这件商品就将盒子扔掉了，钱也就打水漂,亚马逊;包装;NULL;,糟糕;很薄;打水漂;,-1;-1;-1;
老煤油！买过，Mx3，馒头，魅蓝Nt5，E2.外观漂亮！大小适中！很薄！,外观;大小;NULL;,漂亮;适中;很薄;,1;0;-1;
一般     不太好,NULL;NULL;,一般;不太好;,0;-1;
在卓越买了很多东西，就这件不理想，感觉是假的。对比了超市，味道都不一样，希望卓越给我个说法，,NULL;NULL;感觉;NULL;,卓越;很多;假;卓越;,1;1;-1;1;
几好用，就是去油后脸上有点干。。。,NULL;去油;,好用;干;,1;-1;
半个多月了，东西还在物管处，还是我自己打电话去问送货的，他才告诉我，之前电话都没打，信息也没收到，很不满意！,NULL;,不满意;,-1;
很满意，可以收到很多节目，放在琴行，小朋友都很喜欢[追评],NULL;NULL;NULL;NULL;,满意;可以;很多;喜欢;,1;1;1;1;
京东卖假货,NULL;,假货;,-1;
不是很好用，浪费钱了,NULL;NULL;,不是很好;浪费;,-1;-1;
老婆大人虽然还没试用不过也比较满意，发货挺快的我也比较满意，希望试用结果也让人满意,发货;NULL;,挺快;满意;,1;1;
颜色涂上后还是显得有点假，不过这几款比较起来，这个应该算是最不假的了。不是我想要的那种感觉，而且唇膏有点松动还不如lip pure好，个人不是很喜欢。颜色还是太艳。滋润还可以，就是看着别扭。是那种艳粉，和图片上还是有一定差距的。喜欢淡淡的，但这个不够淡。,NULL;NULL;NULL;NULL;NULL;颜色;NULL;看着;NULL;NULL;NULL;,假;不假;松动;好;喜欢;滋润;还可以;别扭;喜欢;淡淡的;不够淡;,-1;1;-1;1;1;1;1;-1;1;1;1;
比较刺鼻，熏得头疼，不打算再买了,NULL;NULL;,刺鼻;头疼;,-1;-1;
去年4月份生产的东西，这种面膜类的，本来就要新鲜，我算看透了，在亚马逊上买东西 凡是标有（新老包装更换中）字样的，那一定是老包装，一定是很早以前的尾货，请大家注意,NULL;NULL;,新鲜;新;,1;1;
"50ml的小棕瓶529入手的.应该是正品吧,包装什么的都完好,用着似乎皮肤真的紧了一些.已经用了两周才来评论的.只是不知为什么盒子底上的验证码被快递的码贴住了,撕掉后,扫出来的码也是真的,可为什么要贴住呢?？？",NULL;NULL;,正品;完好;,1;1;
手机声音还可以，电池不怎么样,声音;电池;,还可以;不怎么样;,1;-1;
知道为什么没有星星吗？冒牌伪劣产品，掉毛脱色到了污染皮肤的程度。简直就是垃圾。呼吁不要再买了。我直接垃圾桶了。,NULL;掉毛;NULL;,冒牌;脱色;垃圾;,-1;-1;-1;
不满意 根本不能充电,NULL;,不满意;,-1;
虚假广告害死人，最差的一次京东网购。,NULL;,虚假;,-1;
性价比较好的产品，送货安装及时！,送货安装;,及时;,1;
说实话，2万毫安也太不行了，电池容量明显没那么多，最多充两次苹果6,NULL;电池容量;,不行了;明显;,0;0;
质量，效果非常好，就是物流太慢一个星期，不是顺风就是不行！,效果;NULL;,好;不行;,1;-1;
电池续航: 续航非常久 运行速度: 运行速度很流畅 拍照效果: 拍照一般 显示效果: 屏幕很好 没有阴阳师 总结: 挺不错的 虽然半年后苹果就要发布新品了 可是早买早享受吧  手机也用这非常好 红色很好看[追评],续航;运行速度;拍照;屏幕;NULL;手机;,久;流畅;一般;很好;享受;好;,0;1;0;1;1;1;
[追评]无中轴模式减轻重量同时增加稳定性，设计很新颖。以前买个三脚架，还得去配短中轴。云台外形好看简洁，锁紧力非常强。变自拍杆功能很喜欢，碳纤自拍杆，强度外形都比之前街边买的强太多，谢谢店家送的遥控器,外形;NULL;NULL;功能;,好看;简洁;强;喜欢;,1;1;1;1;
是很好的卖家,NULL;,很好;,1;
不满意，M号都那么大，又不是棉，而且这种面料越洗会越大。颜色也跟图片不一样??,NULL;,不满意;,-1;
做出来的饭不怎么好吃,NULL;,不怎么好吃;,-1;
香味清新，啫喱状的洗发水比较清爽，发尾用点护发乳更顺滑，适合夏天使用。,香味;洗发水;护发乳;NULL;,清新;清爽;顺滑;适合;,1;1;1;1;
挺好的，很静音。帮忙送到楼上，摸着没有特别的热，温度还是有点的，,NULL;NULL;,挺好;静音;,1;1;
不见效还贵得要死，很多人说吃了没用,NULL;NULL;,贵;很多;,-1;1;
试用了几天，制冷正常，方便，实用 ，客服服务态度好，物流送货迅速，搬运到位，这次购物非常满意。,制冷;NULL;NULL;态度;送货;NULL;购物;,正常;方便;实用;好;迅速;到位;满意;,1;1;1;1;1;1;1;
该暖腰宝不错，挺暖和的。本想给五颗星，但因同时购买的电暖袋完全不能用，影响心情，给4颗星。,暖腰宝;,不错;,1;
很满意的一次购物，而且一个月才10几度电,NULL;,满意;,1;
电池正常使用一天一充 拍照效果满意 速度流畅 屏幕很清晰。颜色靓丽。 首先说机子应该是新的。美版性价比是没的说的。买给媳妇用的。使用了几天没遇到什么问题。速度流畅，信号也很好。无线充电很牛啊[追评],电池;效果;速度;屏幕;颜色;NULL;性价比;速度;信号;充电;,正常;满意;流畅;清晰;靓丽;新;没的说;流畅;很好;很牛;,1;1;1;1;1;1;1;1;1;1;
失望，康佳越来越不行了，买回家一个月都没到就出问题了，真是无语,NULL;康佳;NULL;,失望;不行了;无语;,-1;0;-1;
本来以为保湿乳可以顶过秋天，但是广州太干燥，没办法入手了这个霜。我混合两颊偏干，这个时候用的量还不多，大冷天大概要涂厚点。最近天气一会儿冷一会儿热，我只能一会用霜一会用乳。真到了冬天怕一瓶很快就会用完。,NULL;NULL;NULL;NULL;NULL;,可以;干燥;偏干;不多;很快;,1;-1;-1;0;1;
[追评]商品不错，物流很快，销售客服苏芮婷态度很好。只是售后（空调安装）极差：1格力安装人员乱收费（网页显示普通砖墙打第一洞应免费，但其定要收100元）。2态度极差（向其提出异议后，其要求买家打完墙洞后再联其安装即走人）。3监督机制不完善、渠道不畅通。（投诉电话形同虚设永远无法接通）,商品;物流;态度;NULL;显示;NULL;态度;NULL;,不错;很快;很好;极差;普通;免费;极差;不完善;,1;1;1;-1;0;1;-1;-1;
很满意，速度开，服务到位，赞一个。,NULL;速度;,满意;赞;,1;1;
涂上很水润的感觉，但是感觉吸收不是特别好。,NULL;NULL;,水润;好;,1;1;
质量很好，很喜欢，,质量;NULL;,很好;喜欢;,1;1;
老牌子，质量好，制冷效果佳，包装完整,质量;制冷效果;包装;,好;佳;完整;,1;1;1;
质量好 东西齐全 小女生非常喜欢 颜色特别亮,质量;东西;NULL;,好;齐全;喜欢;,1;1;1;
完全与预期不符,NULL;,不符;,-1;
每次一不小心揉眼睛眼睛就痒的不行，最薰衣草款最精确的形容就是兰州拉面味儿，标准的。,眼睛;NULL;NULL;,痒;不行;标准;,-1;-1;0;
也不知道是不是我使用不适当。。杯子灌满了水在桌上放了一天，晚上拿去水池倒的时候杯底就崩了。。,使用;,不适当;,-1;
价品质量真的不错，就是声音有点大。产品真的不错,质量;产品;,不错;不错;,1;1;
还行吧，蛮柔软的，偏薄,NULL;NULL;NULL;,还行;柔软;偏薄;,1;1;-1;
一点温度都没有，太差了,温度;,太差;,-1;
没用过，擦的时候有很多小颗粒状的东西，不知是否正常,NULL;NULL;,很多;正常;,1;1;
视觉好，色彩鲜艳。,视觉;,好;,1;
屏幕大小合适么？系统用的习惯么？配件质量如何？快写下你的评价，分享给大家吧！,屏幕大小;质量;,合适;快;,1;1;
东西虽已收到、太差了！无法使用、而且快递整整用了快一个月、信息发了几百条、爱理不理的。服务态度太差了！,东西;NULL;NULL;服务态度;,太差;快;爱理不理;太差;,-1;1;-1;-1;
已经开始使用了，挺满意的。,NULL;,满意;,1;
颜色不好，与图上不一致,颜色;,不好;,-1;
等了几百年才送来 送货员服务态度差说不用签名了 ,服务态度;,差;,-1;
老早就发现了这个心仪的冰箱，装修一直现在才安装成功，还特地给它设计了旁边的橱柜打孔安放泵和纯净水，无以言表的满足感和自豪感，设计师都被圈粉了，说自己家装修也弄一个，非常高大上，夏天回家来杯加冰块的饮料啤酒多爽，性价比很高。[追评],NULL;NULL;性价比;,高大上;爽;很高;,1;1;1;
买了4条，却只发一条，后来和客服联系才补发，补发已收到，可是这种错误个人觉得不可饶恕，以前看过其他商品的评论说发货与订单数量不一致，以为是个别情况，可最近接连发生在我的订单上，表示忧虑，希望商家在注重效率的基础上提升一下服务质量。,,,
因为要放吃的东西。要买实木餐边柜。店家号称柚木实木。其实是柚木款式的合成板贴面。安装前有拍照。只有四根框架和六个拉手是实木。其他都使复合版。甲醛味肯定有。在吹风， 不敢放吃的的东西。</br>产品介绍说柚木实木。我被误导了。根本不是。符</br>复合版加几根棍子，一千多有些贵。</br>款式大小都和图片一样。</br>师傅安装很仔细。,NULL;安装;,贵;仔细;,-1;1;
不错不错。。。。给力啊,NULL;NULL;NULL;,不错;不错;给力;,1;1;1;
蓝牙连接速度很快，音量足！但是收音功能完全没有，一个台都收不到！,连接速度;音量;,很快;足;,1;1;
不怎么好用，还是直接买洗衣机吧,NULL;,不怎么好用;,-1;
还可以比较满意,NULL;,还可以;,1;
挺好的，符合我的要求，快递也很给力，,NULL;NULL;快递;,挺好;符合;给力;,1;1;1;
至于可不可以吃，我是没有吃的·味道是很老很老的长方体黄色肥皂的味道·包装完好，香皂是抽了真空的·比较吊的样子。不得好大一坨。确实洗了脸来会感觉很干净。但是有的人说洗了来很保湿什么什么的表示我可以呵呵么～肥皂就是肥皂·洗了来马上拍水擦乳液都还好，至于温不温和，我这样说吧，弄到眼睛里还是很痛的。,NULL;NULL;包装;NULL;感觉;NULL;NULL;NULL;NULL;,很老;很老;完好;好大;干净;可以;还好;不温和;很痛;,-1;-1;1;-1;1;1;1;-1;-1;
不错，很精致，小朋友喜欢,NULL;NULL;NULL;,不错;精致;喜欢;,1;1;1;
很好，很满意，服务特好,NULL;NULL;服务;,很好;满意;好;,1;1;1;
汽车坐垫大小合适，没有异味，发货很快,大小;发货;,合适;很快;,1;1;
不知道为什么很油很稀，反正我用起来很不舒服。,用起来;,不舒服;,-1;
这是红棕色吗，根本就是黑色：好失败的一次网购，这样的产品是正品吗，下次在不买了,NULL;NULL;NULL;,好;失败;正品;,1;-1;1;
[追评]很好。,NULL;,很好;,1;
东西不错，暂时没有发现确点,东西;,不错;,1;
效果一般，价格虚高，像地摊货,效果;价格;NULL;,一般;虚高;地摊货;,0;-1;-1;
一直用丽丽的化妆棉，趁活动屯个货，京东的速度一直没失望过`~,速度;,没失望;,1;
第一次用喷雾型的护发水，刚喷上的时候会有些腻，过一阵子就好了，淡淡的香。很顺滑倒算不上，还是比较能抚平毛躁的。,喷雾;NULL;NULL;NULL;NULL;,型;好;淡淡的;香;顺滑;,1;1;1;1;1;
"给媳妇买的,她不用. 感觉很简陋的产品...",感觉;,简陋;,-1;
耳机非常不错，拿到这个耳机包装就很不一样。打来里面也很不错的包装，使用起来音质非常悦耳，是我喜欢的流行音乐匹配耳机，同时听摇滚的音乐也是非常的爽！好的声音的确需要一副好的耳机转换出来，不错不错！物流也很快，太赞了！,耳机;NULL;音质;NULL;音乐;NULL;NULL;NULL;NULL;物流;NULL;,不错;不错;悦耳;喜欢;爽;好;好;不错;不错;很快;赞;,1;1;1;1;1;1;1;1;1;1;1;
纯天然的，气味就问得出来，但是祛痘效果不明显，而且起了些脂肪粒，我是混合肌肤，对牛奶过敏，大家当个参考吧,效果;NULL;,不明显;过敏;,0;-1;
是原封正品.物流也挺快，就是来的包裹不够精致，我害怕那么贵重的物品怕调包了,NULL;物流;包裹;,正品;挺快;不够精致;,1;1;-1;
用着效果挺不错的，量还多，够用一段时间了,NULL;,够用;,1;
商品我非常满意、谢谢了！！,NULL;,满意;,1;
看上去油腻腻的，涂起来不油腻，还湿湿的！,,,
用过才来，效果挺好的。,效果;,挺好;,1;
蛮不错的！！！！！！！！,NULL;,不错;,1;
相当好，大气,NULL;NULL;,好;大气;,1;1;
给妈妈买的，她很喜欢，东西还可以，目前无问题,NULL;东西;,喜欢;还可以;,1;1;
是全新正品，价格也漂亮，只是等5天才有貨出～[追评],NULL;NULL;价格;,全新;正品;漂亮;,1;1;1;
还好，就是到货包很皱,NULL;,还好;,1;
冲击力挺大，不过达不到想要的效果，买来就摆着了,NULL;,挺大;,1;
几乎和白酒是一个气味，酒精味真不是盖的……尝试了一下，还是有些刺痛感，不过应该是正品啦,NULL;,正品;,1;
很可爱，就是有点小，把中间的手柄拿掉，也可以蒸蛋！不错,NULL;NULL;蒸蛋;,可爱;可以;不错;,1;1;1;
东西可以，物流就呵呵了,东西;,可以;,1;
垃圾！,NULL;,垃圾;,-1;
质量不是很好，做工粗糙，粘贴膜太少，不能贴踏实。,质量;做工;膜;,不是很好;粗糙;太少;,-1;-1;-1;
好甜好甜，太甜了,NULL;NULL;,好;太甜;,1;-1;
物流速度太慢，京东给我送货用了四天时间,,,
原包装正面竟然会有简体中文句子出现，后面又贴了张中文说明覆盖原来的日语说明。 然后用起来就跟大街上4、5块钱的杂牌一样。 我只能呵呵了。 看来护肤品之类的。只能是亚马逊你好亚马逊再见了。 不过物流倒是很值得称赞。所以多给你们一颗星w,物流;,值得称赞;,1;
一直喜欢大屏幕的手机，所以OPPO R11 Plus一上市就吸引了我的目光。这是第一次用OPPO的手机，感觉非常好！速度快、外观美，优点很多啊。昨晚开了十几把王者农药，最高画质一点都不卡，机身也不怎么发热。最满意的是充电非常快，从15%到100%只用了一个小时左右。太满意了！[追评],NULL;感觉;外观;优点;NULL;NULL;充电;NULL;,喜欢;好;美;很多;不卡;满意;快;满意;,1;1;1;1;1;1;1;1;
挺给力的！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！,NULL;,给力;,1;
给朋友买的，据说还不错，给你好评,NULL;NULL;,不错;好评;,1;1;
鞋子没穿一个星期鞋头就开胶了，还不让退货，大家不要买这款！！,,,
不错，声音有点小！,NULL;,不错;,1;
手工皂收到了，很不错，味道很舒服，清洁度效果不错，保湿，卖家人很好，很满意,NULL;味道;效果;NULL;NULL;,不错;舒服;不错;很好;满意;,1;1;1;1;1;
包装都变形了，不怎么样。,包装;NULL;,变形;不怎么样;,-1;-1;
 Sony，拍照优秀，照片清晰接近完美，色彩鲜艳真实！外观设计好看，很喜欢！深感遗憾的是：Google 服务在中国早已禁止！指纹和电池续航功能不太理想，装多了应用还会卡！毕竟是Sony2015年的产品！另外，支付宝和微信支付应用不支持Sony的指纹识别！但是，Sony Xperia Z5 拥有NFC功能。买着，拍照也值了！[追评],拍照;照片;NULL;NULL;NULL;NULL;NULL;,优秀;清晰;完美;真实;喜欢;遗憾;卡;,1;1;1;1;1;-1;-1;
是产品质量合格的意思来看就行了。最后祝京东越做越好，大家幸福平安，中华民族繁荣昌盛。,产品质量;NULL;NULL;NULL;,合格;好;幸福;平安;,1;1;1;1;
临期产品，不到半年就过期了，临期产品至少要有提醒吧，差评,NULL;NULL;,过期;差评;,-1;-1;
好用，但没有赠品，用一段时间不知怎么样。,NULL;,好用;,1;
挺好的，就是手机没贴膜，没耳机,NULL;,挺好;,1;
乐视手机物美价廉，非常完美，虽然现在乐视情况不太乐观，但乐视产品毋庸置疑，从乐1，乐1s，乐3Pro都是自己用。乐2，乐3AI版都给朋友介绍，朋友都觉得不错。这次买的也是为朋友购买的，非常完美，乐视，希望你继续前行，做自己特别的产品，高端产品，做一套完整的移动互联网生态系统，支持你。,手机;NULL;NULL;觉得;NULL;NULL;产品;,物美价廉;完美;乐观;不错;完美;高端;完整;,1;1;1;1;1;1;1;
是假货跟专柜不一样。,NULL;,假货;,-1;
好还好还好好还好还好好好好,NULL;NULL;NULL;,好;还好;还好;,1;1;1;
电视清晰，音质不错，送货安装快，很满意。,电视;音质;送货安装;NULL;,清晰;不错;快;满意;,1;1;1;1;
太贵了，在马云哪又买了一个才58,NULL;,太贵;,-1;
做活动买的，第二件半价买了两盒，到货后发现完全没有任何生产日期及保质期相关信息，但是爸爸已经拆开用过了，试了三四次不知是否和停留时间有关，每次都停留半小时左右，严格按照说明的步骤操作最后洗净发现完全没有效果，或者效果很细微，白发还是多且明显。想着退货结果这件商品不知道什么原因不支持退换货，只能下次再延长染发时间看看，自认倒霉吧。。。,NULL;效果;NULL;,严格;细微;明显;,1;-1;0;
一直想要这款冰箱，关注好久了，终于等到活动，收到货后和商场看的一样一样的，高端大气上档次，包装细节很到位，功能分区合理方便，用了几天才来评价的，朋友看了都说气派十足！,NULL;NULL;NULL;细节;NULL;NULL;NULL;NULL;,高端;大气;上档次;到位;合理;方便;气派;十足;,1;1;1;1;1;1;1;1;
这送的电源有什么好评价的啊....也就那样了,,,
声音有点响～体积大了些，功能简单，总体还不错,NULL;功能;总体;,响;简单;不错;,-1;1;1;
还可以，物流太慢,NULL;,还可以;,1;
很满意！给孩子买的，目前使用一切正常，性能也很满意。[追评],NULL;性能;,满意;满意;,1;1;
辛苦送货师傅了，楼高一样帮我送上去，安装好，谢谢,NULL;安装;,辛苦;好;,1;1;
用了不到一个月就坏了  表示很无奈,NULL;NULL;,坏;无奈;,-1;-1;
给爸妈买的，早上煮蛋很方便，省时省水,煮蛋;NULL;,方便;省时;,1;1;
宝贝很好，价格便宜，买的多了，两个盖子需要一包就够了，再就是邮费很贵。,宝贝;邮费;,很好;很贵;,1;-1;
支持国货，做工设计还有很大进步空间,做工;,很大;,1;
本来是五星的，店家找的快递太恶心！产品很OK！,快递;,恶心;,-1;
一般般 一般般一般般 一般般,NULL;NULL;NULL;NULL;,一般般;一般般;一般般;一般般;,0;0;0;0;
还是挺不错的，还算满意,NULL;,满意;,1;
宝贝很喜欢，屏够大，做工挺精致。,宝贝;屏;做工;,喜欢;够大;精致;,1;1;1;
不错，老人很喜欢，国产的智能机老大还是挺不错,NULL;NULL;,不错;喜欢;,1;1;
很好用。被机器压了一下钢化膜虽然怀了但手机没是。但是膜摸一个就花了不好。,NULL;NULL;,很好;不好;,1;-1;
设计这这个桌布的人有点傻吧&hellip;这桌布的反面缝得乱七八糟的，洗完一次之后，就开始脱线、滑丝。。还得用打火机把边熏一遍&hellip;不然完全不能用！,桌布;,乱七八糟;,-1;
一拿到就很着急地看了说明书 居然说是为干性肌肤和敏感肌肤所用？ 可是网页上标明是为混合型肌肤的啊！！很郁闷！花了冤枉钱！,肌肤;NULL;,敏感;郁闷;,1;-1;
刚到手还没用，就发现开关折了，而且还黏糊糊的，有胶，很明显就是维修后，又销售的产品。京东客服说是员工行为，不算二次销售。看看这客服。服了。,NULL;NULL;,黏糊糊;明显;,-1;0;
很好很好很，适合孩子用。,NULL;NULL;NULL;,很好;很好;适合;,1;1;1;
不好，很不满意，物流好慢。而且笔感觉也一般。,NULL;NULL;物流;NULL;感觉;,不好;不满意;好;慢;一般;,-1;-1;1;-1;0;
感觉还不错,感觉;,不错;,1;
用了几天才来评价的，手机真的好棒第一次用魅族手机给我留下了很好的印象，店家送了好多礼品，很开心的一次购物。,手机;NULL;NULL;NULL;,好;棒;很好;开心;,1;1;1;1;
不错 挺好的挺好的挺好的,NULL;NULL;NULL;NULL;,不错;挺好;挺好;挺好;,1;1;1;1;
电视挺好的画面清晰同城送货很快，安装师傅到位也快服务野很周全，电视还是长虹老品牌的好，值得购买,电视;画面;送货;安装师傅;NULL;NULL;NULL;,挺好;清晰;很快;到位;快;好;值得;,1;1;1;1;1;1;1;
还不错的，自己黑头 比较多，毛孔也比较大哈，刚好合适,NULL;毛孔;NULL;,不错;刚好;合适;,1;1;1;
味道还不错，只是头发依然干,味道;头发;,不错;干;,1;-1;
同事羡慕啊！要集体换雨刮了，我们公司人不多，车多，几乎人手一辆，有百来辆吧,NULL;,不多;,0;
一个字烂  很烂,字;NULL;,烂;很烂;,-1;-1;
不错，变频的，相信扬子的质量。,NULL;,不错;,1;
东西特棒，在东北外面都特暖和，还防滑！！五星没得说,外面;,暖和;,1;
不错，价格实惠，功能也很齐全。,NULL;价格;功能;,不错;实惠;齐全;,1;1;1;
看你家是西单图书大厦才在你家买书，还是不靠谱，新书上有水渍印记,NULL;,不靠谱;,-1;
本来以为是一大盒 结果送来才发现。。。不过效果倒还好,NULL;,还好;,1;
今天收到货，孩子 很高兴，描述的一样， 服务态度很好 ，发货很快，物流很 给力,服务态度;发货;物流;,很好;很快;给力;,1;1;1;
不好&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;,NULL;,不好;,-1;
失望！第一次京东买大件！还是帮朋友买的。回来后箱子很旧，还有破损。看着就像货底子，想问问哪年生产的。怎么问商家就是支支吾吾不告诉什么时间生产的。大家自己看吧！失望透顶，我感觉不是06产的就是12产的。郁闷。以后再也不帮别人买东西了。,NULL;箱子;NULL;NULL;,失望;很旧;失望透顶;郁闷;,-1;-1;-1;-1;
还没用，应该还不错的。。,NULL;,不错;,1;
电池易松动,电池;,松动;,-1;
不错，是正品（打开手机盒一股正品味道）手机屏幕清晰，反应快，声音大。看电影爽。,NULL;NULL;NULL;屏幕;反应;NULL;,不错;正品;正品;清晰;快;爽;,1;1;1;1;1;1;
跟我想象中完全不一样，掉色很严重，差，差，差，,掉色;NULL;NULL;NULL;,严重;差;差;差;,-1;-1;-1;-1;
防晒效果只能说一般般&hellip;&hellip;,NULL;,一般般;,0;
看他画的支架的长度是很长的，但是买回来发现这个线的长度确实有点捉急。好像手臂的长度都比这个长，感觉还是用手比较合适！所以，如果你想在办工桌上看电影的话，可以购买（感觉质量还可以）。但是你想躺在床上看电影这个长度就算了吧,长度;长度;感觉;NULL;质量;,很长;长;合适;可以;还可以;,1;1;1;1;1;
东西很差，收到以后马上查看，发现与图片描不一致，超级不喜欢，卖家发货速度很慢，，服务不到位，不给老板点个赞，下次不会来购买....,东西;NULL;速度;服务;NULL;,很差;不喜欢;很慢;到位;赞;,-1;-1;-1;1;1;
一般吧，不好不坏，，，，，，,NULL;NULL;,一般;不好不坏;,0;0;
物流有点慢,物流;,慢;,-1;
挺保湿的，不错，很喜欢啊,NULL;NULL;,不错;喜欢;,1;1;
还没用，包装不错，不知效果怎么样，,包装;,不错;,1;
太差劲了！质量有问题，手把表面的金色面板右下角会跷起。<br/>寄回去换新的，结果没有换新的，把一样的东西再送回来，今天发现问题又发生了！<br/>气死了，好差劲的质量和售服，还让我多花了运费,质量;NULL;,有问题;好;,-1;1;
不好，，,NULL;,不好;,-1;
电池真的耐用。屏幕发红，整体质量和价格相比还算可以。,电池;价格;,耐用;可以;,1;1;
垃圾，寄过来瓶子连包装都没有，塑料瓶外面脏兮兮的，怎么看都像是旧的，跟垃圾桶捡回来的一样，,NULL;外面;NULL;,垃圾;脏兮兮;旧;,-1;-1;-1;
味道不蛮好',味道;,不蛮好;,-1;
尺寸太小，软膜刚好,软膜;,刚好;,1;
挺好的，买电子产品还得苏宁易购。,NULL;,挺好;,1;
还不错，就是学得还行,NULL;NULL;,不错;还行;,1;1;
还行。。。,NULL;,还行;,1;
耳机太次。带上一会儿 耳朵就会疼。游戏音效 特别不好<br/>,耳机;耳朵;NULL;,次;疼;不好;,-1;-1;-1;
你都没给我，我评论干啥。,评论;,干;,-1;
很实用，又买了一个送人,NULL;,实用;,1;
收到了宝宝穿的刚合适只不过送快慢了点,NULL;,合适;,1;
气味不错，涂上唇膏后终于不再失水脱皮,气味;NULL;,不错;脱皮;,1;-1;
挺好的，好评，加了十块发顺丰，贼快！！！,NULL;NULL;NULL;,挺好;好评;快;,1;1;1;
。。。。。。。。。。。一个字，差,NULL;,差;,-1;
东西老不咋滴了，刚带一天就掉色了，能不买就别买了,东西;,不咋滴;,-1;
感觉不值这个钱，材质做工这么个样子真的很不喜欢,感觉;NULL;,不值;不喜欢;,-1;-1;
闻着这气味就受不了，硬给老公给压缩面膜给用了一次，他也没说怎么样.....,气味;NULL;,受不了;硬;,-1;-1;
喝着不咋好喝,NULL;,不咋好;,-1;
是不是真的不会看，做工还算满意。,做工;,满意;,1;
洗发水基本上没有香味；洗完后的效果不怎么好，头皮容易发痒,效果;头皮;NULL;,不怎么好;容易;发痒;,-1;1;-1;
这款面膜基本没效果，要美白没美白，要保湿没保湿。不推荐购买。,NULL;,不推荐购买;,-1;
很满意，没想到这个价钱可以买到这么大的洗衣机，用过一次才来评价的，衣服洗的挺干净的，安装人员也特别快，刚预约完就打电话给我了,NULL;价钱;安装人员;,满意;可以;快;,1;1;1;
卖家送的，很给力～～～,NULL;,给力;,1;
还可以，，，,NULL;,还可以;,1;
脚上有老茧，洗脚之后涂上一个星期老茧几乎就没有了，日常生活备一瓶还是很有用的。,NULL;,有用;,1;
在网上收了各种辨别真伪的方法，还是不知道，和淘宝上买的味道差很大，不过觉得淘宝的应该是假的，太香；这个刚打开闻总觉得是什么坏掉的味道，不过用了一阵闻，觉得是淡淡的玫瑰香了，所以还是不知道真假，不过还可以吧，就用来当爽肤水，或者泡个纸面膜，没觉得特别不好或特别好,味道;NULL;NULL;NULL;NULL;觉得;NULL;NULL;觉得;NULL;,差;很大;假;太香;坏掉;淡淡的;香;还可以;不好;好;,-1;1;-1;1;-1;1;1;1;-1;1;
很合脚，穿上很舒服，外观也大气，很不错。,NULL;穿上;外观;NULL;,合脚;舒服;大气;不错;,1;1;1;1;
是用最小的那种卡，还送个剪卡器和蓝牙小音箱。希望是我心水的好机子。,NULL;NULL;,卡;好;,-1;1;
试用了几天，效果好也够用了，比门店要便宜1000，第一次京东买东西，快递员也给力一人背进来的，给你们点赞,效果;NULL;NULL;NULL;NULL;,好;够用;便宜;给力;点赞;,1;1;1;1;1;
还不错吧  毕竟这个价格  也不能要求太高,NULL;要求;,不错;太高;,1;-1;
还行吧，锁质量一般,NULL;质量;,还行;一般;,1;0;
2月买的，6月过期，确实有的太差劲了，不到4个月就过期了,NULL;NULL;,过期;过期;,-1;-1;
之前买过一个，用着不错又给目前买了一个，支持一下,用着;,不错;,1;
不错，没有瑕疵物流业蛮快的,NULL;NULL;NULL;,不错;没有瑕疵;蛮快;,1;1;1;
给婆子妈买的，拿到手老公用了下，很好，想象中好特别多。确实满意，这个价格的手机。很好,NULL;NULL;NULL;,很好;满意;很好;,1;1;1;
钢化膜尺寸与实际不一样！小的厉害  内屏都覆盖不了！  前置摄像头孔洞位置偏差太大！ 差评  真的很差！  不建议再买！,NULL;NULL;NULL;,厉害;差评;很差;,1;-1;-1;
买的，表面看上去一般，期待好用,看上去;NULL;,一般;好用;,0;1;
[追评]发货很快，物理服务上门，客服服务一流,发货;客服服务;,很快;一流;,1;1;
用了之后 跟之前的不同 之前用的很舒服 可是这次却感觉跟上次很大区别 味道闻起来也怪怪的 给我个回复吧,NULL;NULL;NULL;,舒服;很大;怪怪的;,1;1;-1;
